tweet,id,last_tweeted,active
"Scientists who discover problems with GMOs have been attacked, gagged, fired, threatened, and denied funding.",8929,2024-12-24 20:30:02,1
The American Academy of Environmental Medicine (AAEM) urges doctors to prescribe non-GMO diets for all patients.,8930,2024-09-04 03:30:01,1
GMOs cross pollinate and their seeds can travel. It's impossible to fully clean up our contaminated gene pool. The potential impact is huge.,8931,2024-11-15 18:00:02,1
Most of the health and environmental risks of GMOs are ignored by governments superficial regulations and safety assessments.,8932,2024-11-25 18:00:01,1
"The very process of creating a #GMO plant can result in massive collateral damage that produces new toxins, allergens, and carcinogens.",8933,2024-12-15 19:00:01,1
Virtually all heritage varieties of corn in Mexico (the origin of all corn) have been found to have #GMO contamination.,8934,2024-11-28 06:30:01,1
GMOs are a sin against humanity because we're not short on food on this planet.,8936,2024-10-30 17:30:01,1
The Gates Foundation is nothing more than a tax-exempt family trust. It's establishing a global food monopoly dominated by GMOs.,8937,2024-12-22 07:30:01,1
"There is plenty of evidence proving that GMOs are not safe, and how they affect life in the long-term is questionable to say the least.",8938,2024-12-01 18:00:02,1
Say goodbye to the food your grandparents ate. Genetically modified crops are spreading across the globe.,8939,2024-11-15 09:30:02,1
Over 50 countries have mandatory #GMO labeling. The U.S. is one of the only developed countries that doesn't.,8940,2024-11-22 04:00:02,1
"If companies had never been awarded the right to patent genes/seeds by our whore courts, GMOs never would have been pursued.",8941,2024-12-20 19:00:01,1
Support organic non-gmo farming.,8942,2024-11-02 09:30:01,1
"First introduced into the food supply in the mid-1990s, GMOs are now present in the vast majority of processed foods in the U.S.",8943,2024-12-18 14:30:01,1
"While GMOs are banned elsewhere, the FDA does not even require the labeling of GMOs in food ingredient lists.",8944,2024-11-07 15:30:01,1
The DuPont corporation is the 2nd largest producer of GMO seeds in the world and actively funds a doomsday seed vault.,8945,2024-07-04 00:30:02,1
Biotech giant Syngenta has been criminally charged for denying knowledge that its genetically modified (GM) Bt corn kills livestock.,8946,2024-11-20 06:00:02,1
Don't conflate GMOs and selective breeding.,8947,2024-11-13 17:30:01,1
Farmers are sued when GMO seeds blow into their fields and grow.,8948,2024-12-02 18:00:01,1
The combo of #GMO and Roundup amounts to habitat destruction for pollinators.,8949,2024-10-26 21:30:01,1
"You probably can no longer completely eliminate your exposure to GMOs, but you can certainly reduce your exposure dramatically.",8950,2024-10-25 04:30:02,1
Tell your friends and family about the potential dangers of GMO's. Spread the word.,8951,2024-11-14 07:30:02,1
Not one country has carried through on promises to officially and scientifically monitor any hazardous consequences of GMOs.,8955,2024-11-20 14:00:02,1
"The fact is, intelligent hybrid methods avoid the dangers of #GMO while leveraging the power of genomic information.",8958,2024-11-26 02:00:02,1
"For those with gardens: please get Non-GMO, Heirloom seeds. Most commercial vegetable seeds are hybrids.",8959,2024-11-18 10:00:02,1
New Study Shows Major Molecular Differences between GMO and Non-GMO Corn: http://sustainablepulse.com/2016/12/19/new-study-shows-major-molecular-differences-between-gmo-and-non-gmo-corn/,8962,2024-11-21 08:00:01,1
Study Links GMOs to Over 22 Different Diseases: http://naturalsociety.com/study-links-gmos-22-different-diseases/,8964,2024-12-24 23:00:01,1
Studies find Monsanto's Bt corn toxic to humans: http://www.seattleorganicrestaurants.com/vegan-whole-food/gmo-bt-corn-is-toxic-to-mammals-humans-biotech-lobby-FDA-congress.php,8965,2024-12-19 08:30:01,1
"Unlike the U.S., Russia has deep concerns about the safety of GMOs and has chosen to implement an extended moratorium on their use.",8966,2024-12-14 17:30:01,1
Boycott any product that contains GMOs.,8969,2024-11-13 13:00:02,1
"We want real farmers, not corporate clone #GMO producers, real farmers growing real food!",8973,2024-11-20 01:00:01,1
"World hunger is a logistics problem, not a problem of scarcity. #GMO advocates don't want you guys knowing that little fact.",8974,2024-11-05 19:30:01,1
Consume organic foods that are free from GMOs and agricultural chemicals.,8976,2024-07-01 07:30:01,1
Most cereals and breakfast bars are very likely to include GMO ingredients because they are made with corn and soy products and non-cane sugars.,8977,2024-10-20 10:30:01,1
Most infant formula and infant food contains #GMO ingredients.,8980,2024-12-17 20:30:01,1
The tipping point for #GMO products will happen the day most Americans avoid GMO foods and stop voting against their own interests.,8981,2024-12-22 13:00:01,1
"Biotech companies directly invest in our universities, so not many scientists and researchers can perform independent research on GMOs and mRNA technology..",8982,2024-11-17 05:00:01,1
There is a serious risk and health hazard with pregnant women eating GMOs and feeding GMOs to new borns.,8983,2024-10-22 12:30:01,1
Hundreds of scientists from the UN were forced to admit GMOs can't solve world hunger and are outperformed by traditional organic farming.,8986,2024-10-26 11:30:02,1
"Next time you are in a Walgreens or CVS, read the ingredients on a can of Ensure; the #1 #GMO cocktail ""Recommended by Doctors"" for cancer.",8988,2024-12-24 03:30:02,1
GMO crops often manufacture their own pesticides and may be classified as pesticides by the EPA.,8989,2024-10-14 04:30:01,1
The influence of a #GMO organism on the food chain can damage the local ecology. Causing unforeseen changes in the environment.,8990,2024-11-26 22:30:02,1
Biodiversity is food security. Just say NO to GMO and all-too-powerful Biotech corporations.,8991,2024-12-28 04:00:01,1
"Chances are you can't afford to eat organic, that's why #GMO food and synthetic pesticides are a form of class warfare.",8992,2024-12-14 22:00:02,1
"Eating nutrient-void, formaldehyde-laden #GMO corn is beckoning a disease-ridden population.",8993,2024-11-18 03:00:02,1
"For people with gardens: please get Non-GMO, Heirloom seeds.",8996,2024-11-26 20:00:02,1
"In #America, junk food and GMOs are subsidized and made extremely cheap in comparison to organic foods.",8997,2024-07-11 00:30:01,1
GMOs and Glyphosate and Their Threat to Humanity: https://www.youtube.com/watch?v=xKcjT5QK3Lg,8998,2024-11-12 03:30:02,1
"#GMO food labeling has proved to be a policy that works across countless cultures, benefiting billions of people.",8999,2024-12-17 23:00:02,1
The spread of #GMO crops through contamination is a conscious and intentional strategy of the transnational seed corporations.,9000,2024-12-17 03:30:01,1
"Despite its efforts, even Whole Foods cannot keep GMOs out of the non-organic products it sells.",9001,2024-12-01 21:30:02,1
"Agent Orange, DDT, GMOs... Monsanto's gifts that keep on giving.",9002,2024-11-30 23:00:01,1
"For those who don't know, a #GMO is an organism whose genetic material has been altered using genetic engineering techniques.",9003,2024-12-20 09:00:02,1
Farmers are sued when #GMO seeds blow into their fields and grow.,9007,2024-11-03 16:30:01,1
Dr. Don Huber - GMOs and Glyphosate and Their Threat to Humanity: https://www.youtube.com/watch?v=xKcjT5QK3Lg,9008,2024-11-23 21:30:01,1
"#GMO crops spew pollen into the air. This pollen cross-breeds with organic feed, which pollutes and corrupts the organic farms.",9012,2024-11-15 13:30:01,1
One major trend threatening American farmers: Patented #GMO seed that makes it illegal to save seed.,9013,2024-11-25 00:30:01,1
"Unlike hybrid crops, a #GMO can NEVER occur in nature. It has to be created in a lab using multiple techniques that are very cell invasive.",9014,2024-11-05 09:30:01,1
Brominated vegetable oil is a flame retardant used in drinks. Its usually made from #GMO corn or soy derivatives bonded with a bromine atom.,9016,2024-12-06 06:00:02,1
"Unlike conventional pollution, genetic pollution through #GMO food can never be fully cleaned up. Instead of dissipating with time it grows!",9017,2024-08-29 23:30:01,1
"50 countries have required #GMO labeling, and 27 countries have outright banned GMOs.",9025,2024-10-15 17:30:01,1
"If #GMO foods are so great, why won't the elites eat them?",9026,2024-12-24 04:00:01,1
#GMO foods and foods that are contaminated with pesticides and growth hormones are regulated and presented as safe by the government.,9027,2024-11-04 02:30:01,1
Labeling GMOs is not just about possible health risks...it's also about a private company privatizing the food supply through seed patents.,9028,2024-11-27 22:00:02,1
"No matter what product it is, ""100% Natural"" does NOT also mean GMO-free.",9029,2024-12-03 00:00:02,1
"I recommend buying 100% organic as much as possible, and purchasing items that contain the NON-GMO Project seal.",9030,2024-12-17 01:30:02,1
Public awareness over GMOs is growing at an exponential rate.,9031,2024-12-26 01:00:02,1
Even many of the scientists working in the biotech field know full well that GMOs are causing significant bouts of disease across the globe.,9032,2024-11-24 01:30:01,1
"While organic foods are required to be GMO-free, there is no such requirement for ""natural"" foods.",9033,2024-11-30 02:30:01,1
Junk food and GMOs are subsidized and made extremely cheap in comparison to real foods.,9034,2024-11-23 07:00:01,1
"Regardless of the health implications of consuming franken-dna, companies owning all the rights to our food is not wise.",9036,2024-12-02 12:00:02,1
"The fact is, more and more people want non-GMO food, and our local farms have a right to grow without contamination. It's that simple.",9041,2024-12-19 12:30:02,1
Many popular infant formulas have #GMO soy and corn in them.,9043,2024-12-24 22:30:01,1
The livestock that are fed with #GMO plants have weaker immune systems and get sick more often.,9044,2024-12-20 09:30:01,1
"#GMO foods cause immune system disorder, infertility, allergies, accelerated aging, adverse cholesterol levels and many other problems.",9045,2024-11-13 04:00:02,1
"For those with gardens: please get Non-GMO, Heirloom seeds.",9046,2024-11-20 17:00:01,1
There's a reason that Arctic seed banks don't contain a single #GMO seed. Because that's the Apocalypse they're hedging against.,9047,2024-12-01 11:30:02,1
"Once #GMO plants are released into the environment, they are out of control. If anything goes wrong, they are impossible to recall.",9051,2024-11-07 12:30:01,1
When polled 90% of Americans want #GMO labeling.,9053,2024-11-30 00:30:02,1
Most Americans aren't aware of the devastation to biodiversity caused by #GMO crops.,9055,2024-12-19 09:30:01,1
"According to the Alliance of Natural Health, the grandchildren of rats fed #GMO corn were born sterile.",9056,2024-08-06 15:30:01,1
Did you know...if seeds from a GMO field blow over to a non-GMO field the non-GMO farmer can be sued for theft?,9057,2024-10-07 04:30:01,1
"Want to avoid HFCS, aspartame, trans-fats, MSG? Read the label. Want to avoid genetically modified (#GMO) foods? Tough luck!",9058,2024-11-27 18:30:01,1
"While most companies brag about their product, the #GMO industry spends hundreds of millions to hide their product.",9059,2024-11-27 21:00:01,1
"GMOs do not increase yields, and work against feeding a hungry world. They do however increase pesticide use and profits for corporations.",9060,2024-11-29 03:30:01,1
"The US stock animal herd is literally being stuffed with GMOs. If we're not being stuffed directly with unlabeled GMOs, we're getting 1-off.",9061,2024-11-11 20:00:01,1
"The FDA does not mandate labeling of GMOs, and allows companies to put their #GMO foods onto the market without even notifying the agency.",9062,2024-12-12 20:30:01,1
"Overwhelming consensus even among the FDA's own scientists was that GMOs can create unpredictable, hard-to-detect side effects.",9063,2024-10-22 05:30:01,1
About 94 percent of the soy grown in the United States is genetically modified.,9064,2024-12-13 23:00:01,1
"It hasn't been long since the FDA deleted 1 million signatures from the ""Just Label It"" campaign calling for the labeling of GMO foods.",9069,2024-11-11 15:00:01,1
"Almost all U.S. corn, soybeans, cottonseed and canola oil is GMO. Go Organic. #GrowYourOwn!",9070,2024-12-01 05:30:02,1
A monopoly of the seed industry has left many farmers unable to get non-GMO varieties of crops.,9071,2024-12-12 05:00:01,1
There are few things that 90% of Americans can agree on. Labeling #GMO food is one of them.,9072,2024-11-01 11:30:02,1
"Fear and opposition to GMOs is building even in the United States, where most of the corn planted today is genetically engineered.",9073,2024-12-17 22:30:01,1
"There are many long term side effects, dangerous toxins, and potentially serious health hazards associated with GMOs.",9075,2024-11-10 23:00:01,1
Inflammation causes many chronic diseases. The rates of chronic diseases have been increasing drastically since GMOs were introduced.,9076,2024-12-28 12:00:01,1
Even FDA SCIENTISTS mentioned in their memos how GMOs were DANGEROUS. They describe how GMOs could result in malnutrition and new diseases.,9077,2024-12-18 01:00:01,1
Most studies and research done on GMOs have been dependent on Monsanto's funding. Independent studies performed show alarming side effects.,9078,2024-11-18 08:00:01,1
#GMO food is now banned permanently in many developed and even some developing countries.,9079,2024-06-07 03:30:01,1
GMO-Loaded Food Corp Targets Natural Foods for Being Unfair Competition: http://naturalsociety.com/big-mayo-co-unilever-sues-vegan-mayonnaise-maker-market-share/,9082,2024-12-22 17:00:01,1
A child should not be fed food that has been engineered to synthesize its own insecticidal toxin without parents informed consent #LabelGMOs,9083,2024-12-04 11:30:01,1
"Most U.S. cows, pigs and chickens graze on #GMO corn and soy, except the ones that are certified organic or grass fed.",9086,2024-12-17 04:00:02,1
Most oils used in the production of processed foods are genetically modified. #GMO,9087,2024-12-25 17:30:02,1
"#GMO soy can be found in pastries, soybean oil, soy milk, soy flour, soy protein, soy lecithin and many famous infant formulas.",9088,2024-11-10 19:00:02,1
Daily China has reported about the serious environmental and health issues such as increases in allergies related to #GMO rice.,9089,2024-12-18 19:30:01,1
GMOs are a key element of a pesticide application system designed to eradicate all organisms but a target commodity plant.,9090,2024-11-08 02:00:01,1
Regulators Discover a Hidden Viral Gene in Commercial GMO Crops: https://www.independentsciencenews.org/health/regulators-discover-a-hidden-viral-gene-in-commercial-gmo-crops/,9094,2024-12-26 10:30:01,1
Genetically modified foods and seeds were allowed into the U.S. food supply before performing a single test on GMOs side effects on humans.,9095,2024-12-22 11:00:01,1
#GMO varieties of corn and potatoes are genetically engineered to PRODUCE THEIR OWN PESTICIDES. You've probably already had some today. #Yum,9097,2024-12-13 16:30:02,1
"The #USA is the largest producer of #GMO crops, and does not even mandate lables for GMO foods.",9098,2024-11-25 09:00:01,1
"Unless you choose food wisely, you are an active participant in the industrial #GMO buffer zone.",9099,2024-12-20 10:00:02,1
"#GMO corn has been linked to weight gain and organ function disruption, while GMO crops and pesticides destroy our farmland and environment.",9100,2024-09-25 08:30:01,1
"GMOs have ravished already-impoverished people by destroying their native agricultural systems, as has been seen in India.",9101,2024-12-26 12:00:01,1
The Gates Foundation has invested heavily in converting Asian and African agricultural systems to GMOs for the purpose of population control.,9102,2024-08-29 20:30:01,1
#GMO Crops Proven to be Ineffective at Fighting World Hunger: http://naturalsociety.com/gmo-crops-proven-to-be-ineffective-at-fighting-world-hunger/,9103,2024-11-17 18:00:01,1
Studies Show GMOs in Majority of U.S. Processed Foods: http://www.prnewswire.com/news-releases/studies-show-gmos-in-majority-of-us-processed-foods-58-percent-of-americans-unaware-of-issue-104510549.html,9104,2024-11-22 05:30:02,1
"We are constantly inundated with poisons forced on us through GMOs, pharmaceuticals, fluoridated water, microwave radiation and chemtrails.",9107,2024-11-11 03:00:01,1
5 Ways to Tell if GMOs Are in Your Food: http://www.newsmax.com/Health/Headline/gmo-label-risk/2016/12/08/id/762980/,9111,2024-12-13 18:30:02,1
#GMO Food - It's Worse Than We Thought - Dr. Russell Blaylock: https://www.youtube.com/watch?v=wA2GhOCtmBE,9112,2024-12-06 21:00:01,1
#GMO pushers say GMOs are no different than other food. At the same time GMOs are patented because they are inherently different #SeemsLegit,9116,2024-12-20 18:30:02,1
"Obama famously promised to label #GMO foods in a speech on the campaign trail, but that promise was broken and he did a 180 on the issue.",9117,2024-12-21 23:30:01,1
It's important to know that glyphosate sprayed on conventional and #GMO crops actually becomes systemic throughout the plant.,9118,2024-11-22 07:30:02,1
"Dr. Thierry Vrain, Former Pro-GMO Scientist, Speaks Up: https://www.youtube.com/watch?v=TCraL6-g0KQ",9121,2024-11-10 23:30:01,1
The former Nestle CEO actually says that his idea of water privatization is very similar to Monsanto's GMOs.,9123,2024-11-23 09:30:02,1
Insecticides modified into #GMO corn are being detected in streams up to 500 meters away. How long will we stand for this?,9124,2024-11-29 12:30:02,1
Scientists recently found that the insecticide in GMO corn is now showing up in our bloodstream and the umbilical cords of pregnant women.,9125,2024-11-02 21:30:02,1
"Female rats fed #GMO soy for 15 months showed significant changes in their uterus and reproductive cycles, compared to rats fed organic soy.",9126,2024-11-23 11:00:01,1
"Monsanto planted #GMO alfalfa before the USDA approved it, and the federal agency knew it all along.",9127,2024-10-21 03:30:02,1
"The core purpose of GMO food is to weaponize and privatize the genetics of nature. Food is no longer a commodity, it's a patented weapon.",9128,2024-12-18 06:00:01,1
"Companies make millions selling premium-priced ""natural"" foods that contain GMOs.",9129,2024-11-13 19:30:01,1
Prepare yourself for a wave of #GMO animals. #CopyWrong,9130,2024-10-09 12:30:01,1
Let Kellogg's and General Mills know that we prefer our breakfasts #GMO free and with clear labels letting us know if products contain GMOs.,9132,2024-12-27 15:00:02,1
Junk food and GMOs are subsidized and made extremely cheap in comparison to organic foods.,9135,2024-11-30 08:30:02,1
"There are few things you can do to protect from GMOs: (1) Buy organic, (2) Look for the Non-GMO seal, (3) Avoid crops where GMO's are common",9136,2024-12-27 00:30:01,1
"""#GMO maize and the herbicide Roundup, impacts seriously on human health."" ~ Dr. Antoniou, molecular biologist at King's College in London",9138,2024-11-13 08:30:02,1
"Rats fed a #GMO diet show significantly higher mortality rates, shorter lifespans and severe impacts on kidney and liver functioning.",9139,2024-11-22 11:00:02,1
The Union of Concerned Scientists has found that yields not only do not increase but actually decrease when using #GMO technology.,9140,2024-11-18 19:30:01,1
#GMO soy is invariably contaminated with the residues of potent glyphosate-based herbicide formulations (e.g. Roundup) used to produce them.,9141,2024-12-01 15:30:01,1
Animals fed GMOs become infertile and have stunted growth. Think humans are much different?,9144,2024-09-09 11:30:01,1
"#GMO food increases food toxicity, allergy susceptibility, immune suppression, and resistance to antibiotics.",9145,2024-12-19 03:00:02,1
"Big Food loves to tell us how committed they are to ""health"" and ""choice"", all while they fight #GMO food labeling.",9147,2024-11-11 01:00:02,1
GMOs are delicious! Fluoride keeps you sharp! Mainstream media keeps you informed! #OBEY,9148,2024-11-28 17:00:02,1
"Numerous studies have linked #GMO foods with several types of cancer, toxicity to human cells, allergies, and autoimmune diseases.",9150,2024-11-09 20:30:02,1
Most people are unaware that our food supply is saturated with genetically modified organisms. Search GMO's.,9151,2024-12-01 01:30:01,1
In the United States gastrointestinal diseases have increased dramatically since the mid 90s and this has been linked to #GMO foods.,9152,2024-12-28 13:00:01,1
"Weeds from #GMO crops over time become resistant to herbicides, so stronger herbicides will always be needed, creating a deadly cycle.",9153,2024-11-14 22:00:02,1
"Consuming all these hormones, antibiotics and GMOs through the livestock's meat have caused severe chronic diseases such as cancer and diabetes.",9154,2024-11-19 11:30:01,1
"If you want to eat Frankenfood, then fine. But I would like to know what foods contain #GMO ingredients. So at least label it.",9155,2024-11-04 09:30:02,1
"#GMO corn is what your HFCS is made of, which is pumped into everything you eat. So everything you eat is full of toxic products.",9156,2024-12-25 16:30:02,1
"Remember that ""natural"" foods are not organic, and still contain genetically modified ingredients. #GMO",9157,2024-11-17 03:00:02,1
In 2006 it was discovered that 30% of the entire U.S. long-grain rice supply had become contaminated by experimental #GMO rice varieties.,9158,2024-08-23 13:30:01,1
The hope of the industry is that over time the market is so flooded with GMOs that there's nothing you can do about it. You just surrender.,9160,2024-11-13 11:00:01,1
"#GMO crops have led to an increase in overall pesticide use, by 404 million pounds from the time they were introduced in 1996 through 2011.",9161,2024-12-15 08:00:01,1
The biotech companies are aggressively pursuing their anti-GMO labeling policies by bribing lobbyists and politicians.,9162,2024-11-09 14:00:02,1
"#GMO corn has been linked to organ function disruption, while GMO crops and pesticides destroy our farmland and environment.",9163,2024-11-05 06:30:01,1
"GMO is just one thing to avoid, but with our own government in bed with the enemy, it's not easily done.",9164,2024-12-12 11:00:01,1
Take a look at the large amounts of money large food companies are giving to government lobby to keep GMOs legal and secret.,9165,2024-11-29 05:00:02,1
"Kellogg's products are contaminated with GMOs. If you write Kellogg's to complain, they will tell you how great GMOs are. We know better!",9166,2024-11-11 07:00:02,1
"The U.S. ambassador to France stated that all nations opposing GMOs will be hit with ""target retaliation"" and ""military-style trade wars"".",9168,2024-12-01 03:30:02,1
Back in 2007 #WikiLeaks cables revealed a surprising threat made to nations who rejected #GMO crops and biotechnology overall.,9169,2024-11-29 13:30:02,1
