tweet,id,last_tweeted,active
The deception runs deep.,12085,2024-09-11 07:15:01,1
Conspiracy Theory with Jesse Ventura - Wall Street: https://vimeo.com/51494143,12087,2024-11-01 06:45:01,1
Conspiracy Theory with Jesse Ventura - Wall Street: https://vimeo.com/122011902,12088,2024-09-20 09:15:01,1
Rothschild Family Wealth is Five Times that of World's Top 8 Billionaires Combined: http://www.wakingtimes.com/2017/01/20/rothschild-family-wealth-five-times-worlds-top-8-billionaires-combined/,12089,2024-12-04 18:45:01,1
No more pretending you don't know.,12090,2024-12-18 22:45:01,1
5 Shocking Conspiracy Theories that Turned Out to be True: https://www.youtube.com/watch?v=qsc9YpukSog,12092,2024-11-14 14:15:01,1
"Observe. Look between the cracks, through the smoke, and beyond the obvious. Truth shines through.",12093,2024-10-14 11:45:01,1
"These days with so much available information, remaining willfully ignorant is clearly a choice.",12094,2024-12-23 12:45:01,1
"Our school system is designed to dumb students down, to teach them to memorize and obey, instead of teaching them to think for themselves.",12095,2024-07-17 11:15:01,1
Reject that which seeks to divide us and enjoy your delicious red pill.,12096,2024-07-17 10:15:01,1
"You can lead a horse to knowledge, but you can't make him THINK.",12098,2024-11-24 18:45:02,1
Notorious banker J.P. Morgan was scheduled to be on Titanic's maiden voyage but mysteriously canceled at the last minute.,12099,2024-12-07 10:45:02,1
Do the research for you not for me.,12100,2024-11-19 13:45:01,1
Essentially the New World Order is the concentration of power into the hands of a vertically top down authoritarian structure.,12101,2024-06-29 19:45:01,1
"When the whole world is running towards a cliff, he who is running in the opposite direction appears to have lost his mind.",12103,2024-08-16 03:45:01,1
The Manhattan Project proves that the government is able to keep secrets from thousands of participating people via compartmentalization.,12104,2024-12-01 23:45:01,1
The Council on Foreign Relations is an invitation only group made up of about 4000 people that comprise the shadow government of America.,12107,2024-09-07 22:45:01,1
"The original stated purpose of the Trilateral Commission was to create a ""New International Economic Order.""",12108,2024-11-25 11:15:01,1
People don't know about Operation Mockingbird.,12109,2024-07-07 16:45:01,1
"Neat way to keep things hidden: Just call it a conspiracy theory and its an automatic ""oh those crazy nuts"".",12110,2024-10-08 16:45:02,1
Paranoia is having all the facts.,12112,2024-09-22 11:15:01,1
The bilderberg conference is one of the real power structures of the planet.,12113,2024-09-03 16:15:01,1
Learning  true information and knowing it well enough to apply that knowledge to your life is a long and tedious task that's 100% worth it.,12114,2024-11-23 23:15:01,1
"Truth can never bow to the limited understanding of man, the comprehension of man must expand to grasp it.",12118,2024-10-19 13:45:01,1
"The United Nations is the greatest fraud in history. Its purpose is to destroy the United States. - John E. Rankin, US Congressman 1923-1953",12119,2024-07-05 09:45:01,1
"The more you know, the crazier you look.",12121,2024-12-22 14:45:01,1
We should all filter our own water.,12122,2024-07-18 01:45:01,1
The Federal Reserve Act is one of the most significant and horrific turning points in the history of America.,12125,2024-07-29 14:15:01,1
Disney did quite a bit of propaganda work for different government agencies in the past.,12126,2024-11-21 13:45:01,1
"You are being deceived, my friend.",12127,2024-10-18 04:15:01,1
Open your mind before you open your mouth.,12129,2024-12-04 16:15:01,1
Pay no attention to that man behind the curtain.,12132,2024-10-20 04:15:01,1
"""They wouldn't lie about that!"" - sheeple",12133,2024-09-26 02:45:01,1
"Remember, science is easily fudged if political pressure wants it to be.",12134,2024-09-05 10:45:01,1
Climate models that can accurately and consistently predict global temperatures in the not-so-distant future simply DO NOT EXIST.,12135,2024-06-28 15:45:02,1
"Haiku time:
Bomb jihad cocaine 
Keywords triggering watchers
I'm on a list now",12136,2024-07-09 10:45:01,1
"Controlled opposition gives us amazing nuggets of information, gets us to follow them like heroes, then spins us off into la la land.",12137,2024-09-08 08:15:01,1
"Tell me, does one prefer aspartame laced soda or fluoride laced water?",12138,2024-07-19 11:15:01,1
Food is the primary way we interact with our environment and it CAN alter genetic information in the space of a single generation.,12140,2024-12-11 18:15:01,1
"There has been surprisingly little research on how microwaves affect organic molecules, or how the human body responds to microwaved food.",12141,2024-12-07 06:45:01,1
There's far more money to be made in treating a disease than curing it.,12142,2024-08-03 17:15:01,1
protip: buy toothpaste without fluoride and deodorant without aluminum,12144,2024-11-21 10:45:02,1
"Humans are under the control of a strange force that bends them in absurd ways, forcing them to play a role in a bizarre game of deception.",12145,2024-10-06 02:45:01,1
The extent to which scientific principles are being bent to fit politically convenient conclusions is alarming.,12147,2024-08-10 05:45:01,1
Did you know that the Federal Reserve made 16 trillion dollars in secret loans to their friends during the last financial crisis?,12148,2024-12-23 13:45:02,1
Operation Midnight Climax. You didn't hear it from me. Look it up.,12150,2024-07-10 13:15:01,1
Learning  true information and knowing it well enough to apply that knowledge to your life is a long and tedious task that's 100% worth it.,14249,2024-11-06 22:45:01,1
"Truth can never bow to the limited understanding of man, the comprehension of man must expand to grasp it.",14253,2024-07-24 07:15:01,1
"Leaders of all major industrial countries like the US, England, Germany, Italy, Australia, etc. are active participants in the NWO.",14255,2024-07-06 10:15:02,1
"The more you know, the crazier you look.",14256,2024-10-07 23:45:01,1
"Know what they always find in Alzheimer's patients?
Excessive aluminum in the brain.

Know what makes your body hoard aluminum?
Fluoride.",14258,2024-11-08 03:45:01,1
No more pretending you don't know. It's time for you to rise into your calling and remember who you really are.,14259,2024-11-22 03:45:01,1
"You are being deceived, my friend.",14262,2024-12-22 23:45:01,1
"We are all emotional beings. They know it, so they manipulate, feed & prey on our emotions.",14263,2024-10-18 06:15:01,1
"The greatest prison people live in, is the fear of what other people think.",14265,2024-12-16 18:45:01,1
stop paying attention to their distractions,14266,2024-11-19 16:45:01,1
Pay no attention to that man behind the curtain.,14267,2024-07-08 12:15:01,1
"Rigged #Gov
Rigged #Media
Rigged #Politics
Rigged #Economy
Rigged #Currency
Rigged #Education",14286,2024-08-13 04:45:01,1
Corporate Media Just Exposed CIA Using Prostitutes to Drug Victims with LSD for Mind Control Studies: http://thefreethoughtproject.com/cia-mind-control-midnight-climax/,14288,2024-11-15 13:15:01,1
MK-ULTRA Victim Cathy O Brien: https://www.youtube.com/watch?v=Laon3_ob54A,14289,2024-12-11 22:45:01,1
Uncovering truths will often make you feel uncomfortable.,14290,2024-09-04 23:45:01,1
"To all the #truthseekers that are willing to speak out despite the consequences. Thank you, I love you all!",14292,2024-05-29 20:45:01,1
"Demons are organized in hierarchies and function as if they're in a military organization, according to Grimoires and Inquisition writings.",14293,2024-10-30 13:15:01,1
The average person doesn't know what Operation Mockingbird is.,14294,2024-08-18 03:15:01,1
"We are not here to accumulate money or physical possessions, we are here to help one another, love one another and grow.",14295,2024-11-30 07:15:01,1
"Targeted Individuals (TIs) are people who are illegally harassed, tortured, mind controlled, stalked and spied upon 24/7 by the government.",14296,2024-11-11 03:45:01,1
"US presidential candidates are picked at elite Bilderberg meetings, long before any public elections take place.",14297,2024-12-19 23:45:01,1
"Don't trust your government, don't trust corporations, don't trust the mainstream media, and don't trust the Federal Reserve! #EndTheFed #NWO",14298,2024-09-18 22:45:01,1
"If you ever caught yourself watching TV with your mouth open looking like a zombie, you were in alpha brain wave induced hypnosis.",14299,2024-11-10 12:45:01,1
"The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge.",14300,2024-09-16 06:15:01,1
"I don't like being the bearer of bad news but if the bad news is the truth, then so be it.",14301,2024-11-23 03:15:01,1
"Why are over 7 billion people allowing 13 families to control every aspect of our lives, our souls and our planet?",14302,2024-11-14 07:45:01,1
"Biometrics, like facial and voice recognition, and implanted microchips are all New World Order population control mechanisms.",14303,2024-10-18 15:15:01,1
"Why are over 7 billion people allowing 13 families to control every aspect of our lives, our souls and our planet?",14304,2024-09-21 23:15:02,1
Remember MKUltra?,14305,2024-06-09 15:45:01,1
I can't emphasize enough how rare and subversive true wisdom is.,14306,2024-08-05 21:15:01,1
They literally spent more money investigating Bill Clinton's blowjob than investigating 9-11.,14308,2024-07-20 06:45:01,1
End MKULTRA mind control.,14309,2024-10-30 15:15:01,1
All Wars Are Banker Wars: https://www.youtube.com/watch?&v=5hfEBupAeo4,14310,2024-08-14 22:45:01,1
