tweet,id,last_tweeted,active
who is linux? is he a hacker?,8929,2024-12-27 04:30:01,1
A mechanical problem can ground a plane. A computer problem can ground an airline.,8931,2024-10-13 10:30:01,1
"""Run your own email server"" is the kind of advice you get from people who either:
1) haven't tried it themselves,
2) want to watch you burn.",8932,2024-12-11 10:30:01,1
"Overheard: ""I wish there would be a global plague so we could just go back to ipv4""",8933,2024-12-06 18:30:01,1
"There is a massive, Empire-sized army of people dedicated to making us trackable online and very tiny rebel ships trying to prevent it.",8935,2024-10-28 02:30:01,1
"Hey, web devs? Don't disable paste on password fields. It discourages strong, generated passwords.",8936,2024-12-07 02:30:02,1
"Accuracy isn't required to use a CLI, just good backups.",8937,2024-11-11 20:30:01,1
One of the best decisions Apple ever made? Not to let Adobe Flash on its iOS devices.,8938,2024-11-25 20:30:01,1
There is no cloud. It's just someone else's computer. ,8939,2024-10-31 01:30:02,1
"wanna run a cron script only if it isn't already running?

*/3 * * * * if [[ -z $(pgrep offlineimap) ]]; then offlineimap -u quiet; fi",8940,2024-10-12 09:30:01,1
"""So you spent all day writing this tiny amount of code?""
""No I spent all day thinking about *how* to write this tiny amount of code.""",8941,2024-11-26 07:30:01,1
"When in doubt, encrypt. 
When not in doubt, be in doubt.",8942,2024-11-13 04:30:02,1
"remember being on AIM and getting hit with that ""warn"" button.......devastating",8943,2024-10-11 21:30:01,1
Thou shall no longer have access to your server because I rooted it.,8944,2024-10-08 00:30:01,1
sudo fdisk -l /dev/sd? # Show partitions of only physical SCSI/SATA/SCA drives and not other things like device mapper entries.,8945,2024-09-29 13:30:01,1
"If you don't control it, then it belongs to someone else.

None of those other people have your best interests as a priority.",8946,2024-10-17 22:30:01,1
We actually live about 80 milliseconds in the past because that's how long it takes our brains to process information.,8947,2024-10-06 02:30:02,1
"People say that if you play Microsoft CD's backwards you hear satanic things, but even worse if you play them forward they install Windows!",8948,2024-12-20 18:30:02,1
Unix...best if used before: Tue Jan 19 03:14:08 GMT 2038,8951,2024-11-20 02:30:01,1
"Embrace the command line, it's your computer's most powerful tool.",8952,2024-10-29 01:30:01,1
All this computer hacking is making me thirsty.,8953,2024-10-30 00:30:02,1
"Depending on who you ask, there's a 20 to 50 percent chance that you're living in a computer simulation.",8954,2024-11-18 17:30:01,1
I used to listen to Dubstep back in the 90s...every time I connected my computer to the Internet.,8955,2024-12-11 13:30:02,1
"I am a T-800 cybernetic organism; living tissue over a metal endo-skeleton. My CPU is a neural net processor - a learning computer.",8956,2024-12-06 03:30:01,1
A mickey is the smallest movement of a mouse that your computer can detect.,8960,2024-11-14 22:30:01,1
"Tor is free and open source software that allows users to surf the web through a network of more than 7,000 linked volunteer computers. ",8961,2024-12-16 06:30:01,1
Bitcoins are created by solving a mathematical puzzle using computers.,8962,2024-11-17 06:30:01,1
The reality we perceive may be the product of a highly-advanced computer program.,8964,2024-10-08 02:30:01,1
"We are hackers, and hackers have black terminals with green font colors.",8965,2024-12-17 08:30:02,1
Real hackers know the difference between anonymity and pseudonymity.,8966,2024-10-01 15:30:01,1
The hacker known as 4chan better watch out.,8969,2024-12-12 17:30:01,1
People more upset their browsing history is sold than their smartphone being 100% compromised by US government hackers. #Vault7,8970,2024-10-21 11:30:02,1
Linux is a Unix clone written from scratch by Linus Torvalds with assistance from a loosely-knit team of hackers across the net.,8971,2024-11-03 19:30:01,1
"We're going to build a firewall, a huge, beautiful firewall, and hackers are gonna pay for it.",8972,2024-12-02 17:30:01,1
GIVE US THE REAL IDENTITY OF THE HACKER 4CHAN,8974,2024-11-30 08:30:02,1
Hackers gonna hack. Nation state backed hackers with a budget gonna hack the shit out of everything that moves electrons.,8976,2024-10-19 04:30:01,1
"they're not hackers - they're ""undocumented admins""",8982,2024-10-17 05:30:02,1
"Worth noting from the CIA leaks they literally have a division that attempts to mimic Russian hackers.

#CIALeaks #Vault7",8984,2024-12-01 17:30:02,1
"The CIA has over 5,000 hackers and agents working for them around the world with no checks and balances.",8985,2024-10-31 16:30:01,1
Your Russian hacker name is your mom's maiden name followed by the last four digits of your SSN,8986,2024-11-19 08:30:01,1
Hackers shall inherit the earth.,8998,2024-11-10 03:30:02,1
"Pirate Bay founder: We've lost the internet, it's all about damage control now: https://thenextweb.com/eu/2017/06/09/pirate-bay-founder-weve-lost-the-internet-its-all-about-damage-control-now/",8999,2024-12-21 12:30:02,1
The internet. All the piracy. None of the scurvy.,9000,2024-12-04 11:30:01,1
The Internet is not something that you just dump something on. It's not a big truck. It's a series of tubes.,9001,2024-11-25 22:30:02,1
"The Internet: where men are men, women are men, and children are FBI agents.",9002,2024-10-28 09:30:01,1
Destroying the Internet to protect TV and movies is like destroying the printing press to keep monks employed as scribes.,9003,2024-12-02 11:30:01,1
"In 1999, Pokemon was the second most searched for topic on the internet. The first was porn.",9005,2024-10-15 05:30:01,1
"A VPN theoretically creates a secure tunnel between two points on the Internet. Data is channeled through that tunnel, protected by cryptography.",9007,2024-11-08 01:30:01,1
"For the past decade, the NSA has led an aggressive, multipronged effort to break widely used Internet encryption technologies.",9008,2024-10-04 13:30:01,1
Internet activists hold crypto parties where they teach people who are interested in communicating privately how to encrypt their data.,9009,2024-10-25 16:30:02,1
The idea that internet service providers should treat all data that travels over their networks equally is a principle that I support.,9011,2024-11-27 02:30:01,1
"In simple terms, the Internet and the free sharing of information is kicking the establishments ass.",9012,2024-10-17 08:30:01,1
Your internet search is monitored. Your emails can be accessed at any time.,9013,2024-12-11 17:30:01,1
Copyright laws are killing internet culture.,9014,2024-12-12 04:30:01,1
There are more devices connected to the internet than there are people on Earth.,9015,2024-12-13 05:30:01,1
Internet Explorer: The number one browser for downloading a better browser.,9016,2024-12-10 06:30:01,1
I would rather see the internet destroyed than controlled.,9017,2024-10-19 09:30:02,1
My internet went down yesterday. I think my neighbour forgot to pay the bill. How irresponsible.,9018,2024-12-09 11:30:02,1
"Help save the internet, run a Tor relay.",9023,2024-10-14 14:30:01,1
"Dad, what was the internet like in 1999?

It was a dark time, son. We typed HTML tags in upper case.",9024,2024-11-18 15:30:02,1
"Scott Adams suggested that God killed himself to initiate the Big Bang, and that the internet is proof that God's mind is re-forming.",9028,2024-10-18 10:30:02,1
"The Google effect is the tendency to forget information that can be easily found using internet search engines, such as Google.",9030,2024-11-20 15:30:02,1
"If you get offended easily, the Internet probably isn't the place for you.",9036,2024-11-26 04:30:02,1
control memes and you control the internet,9043,2024-11-25 01:30:02,1
The Internet treats censorship as a malfunction and routes around it.,9044,2024-11-08 03:30:01,1
Encryption is a civil right. It's the first amendment of the Internet.,9048,2024-10-30 21:30:01,1
Never doubt that a few people fucking around on the Internet can change the world.,9049,2024-12-08 13:30:02,1
"The Internet broke the monopolization of mass media... With unforeseeable consequences for those in ""control""...",9050,2024-11-26 12:30:02,1
IPv6 is the next generation of IP. IPv4 was designed in the 1970s with no way of anticipating the demands of today's Internet.,9052,2024-10-16 02:30:01,1
"Humans now only make up 38.5% of internet traffic - The other 61.5% is non-human (bots, hacking tools, etc).",9055,2024-12-16 15:30:02,1
Friendly reminder that it is against the law to say mean words on the internet.,9056,2024-12-28 12:30:02,1
Comcast is notorious for monitoring the Internet usage of its customers. Get a new ISP if you happen to use them.,9057,2024-12-17 17:30:01,1
"You learn to hack by hacking. 

It's a truism, but what makes it a truism is that it's true.",9058,2024-12-22 00:30:01,1
The day you tire of fighting for internet freedom is the day new laws will pass taking those freedoms away.,9063,2024-10-09 01:30:01,1
"In the land of no internet connection, the man with dial-up is king.",9064,2024-12-15 23:30:02,1
Open source decentralized crypto-currency is the future. #EndTheFed,9065,2024-12-13 02:30:01,1
Properly implemented strong crypto systems are one of the few things that you can rely on.,9066,2024-10-23 17:30:01,1
Remember: opsec will get you through times of no crypto better than crypto will get you through times of no opsec.,9067,2024-12-20 10:30:02,1
"A machine learning researcher, a crypto-currency expert, and an Erlang programmer walk into a bar. Facebook buys the bar for $27 billion.",9071,2024-12-25 17:30:02,1
The fact the NSA makes cryptographic modifications to commercial cryptographic systems in order to make them exploitable is Top Secret.,9072,2024-11-04 00:30:01,1
NSA spies use their infrastructure to steal cryptographic keys from the configuration files found on Internet routers.,9073,2024-11-05 14:30:01,1
The NSA operates a large-scale VPN exploitation project to crack large numbers of connections.,9078,2024-12-15 11:30:01,1
"According to an NSA document dating from late 2009, the agency was processing 1,000 requests an hour to decrypt VPN connections.",9079,2024-12-24 10:30:01,1
"According to an NSA document, the agency intended to crack 10 million intercepted https connections a day by late 2012.",9080,2024-11-09 16:30:01,1
You know what the definition of insanity is for a programmer? Doing the same thing and getting different results.,9081,2024-11-24 23:30:01,1
"The NSA can monitor any individual by mail, phone, online, and almost all private/personal communications, as they may desire.",9083,2024-12-16 08:30:01,1
Virtually every single electronic communication in the world (including all phone calls and emails) is intercepted and recorded by the NSA.,9087,2024-11-10 16:30:01,1
Most encryption products from large US companies have NSA-friendly backdoors.,9089,2024-11-27 19:30:01,1
Did you know that ubiquitous encryption on the Internet is a major threat to NSAs ability to prosecute digital-network intelligence traffic?,9092,2024-10-28 12:30:01,1
The NSA admits they can use one command to get all your prior emails (cause they're stored) and pull all future ones.,9093,2024-11-02 13:30:01,1
Why have the NSA do it illegally when facebook can do it with your permission?,9095,2024-12-16 05:30:02,1
All the NSA agents following me say YEEEAAAHHH....,9097,2024-11-09 03:30:01,1
"Snowden caused the NSA to institute a ""two-man rule"". Two system administrators are required when one accesses sensitive information.",9098,2024-10-14 10:30:02,1
"The NSA is the largest employer of mathematicians in the United States, and possibly the world.",9099,2024-11-01 09:30:02,1
"Does the set of all sets which don't contain themselves, contain itself?",9100,2024-12-10 08:30:01,1
"If steroids are illegal for athletes, shouldn't Photoshop be illegal for models?",9104,2024-10-19 20:30:01,1
"Conceive, Plan, Execute.",9105,2024-11-05 10:30:01,1
"Where there is a shell, there is a way.",9106,2024-11-07 09:30:01,1
"as a kid: dont trust strangers except police officers

as an adult: online strangers are funding my existence and the police want to kill me",9107,2024-11-19 12:30:01,1
"I don't make typos, I make new linguistic syntax.",9108,2024-12-25 04:30:01,1
"If mental systems one and two
Cannot agree on point of view,
Solution there, it seems to me,
Is to create a System Three.",9109,2024-10-14 21:30:01,1
Life's too short to eject USBs safely.,9111,2024-11-08 11:30:01,1
One man's constant is another man's variable.,9112,2024-12-25 09:30:01,1
"Dear Lord, please grant me the ability to punch people in the face over standard TCP/IP.",9113,2024-12-13 18:30:02,1
"I'm in your code, effin it up.",9115,2024-11-11 05:30:01,1
"Gottfried Leibniz claims to have invented calculus before Newton. The trouble is that Isaac was secretive, so nobody knows who was first.",9117,2024-11-08 13:30:01,1
"The NSA operates a well-funded effort code name MUSCULAR, aimed at infiltrating Yahoo and Google's data centers around the globe.",9118,2024-12-25 22:30:01,1
There are only 10 types of people in the world: Those who understand binary and those who don't.,9119,2024-12-17 16:30:01,1
"When you're a pirate, everything is free.",9120,2024-10-30 14:30:02,1
Yellin' 1337 on a motherfuckin' fed.,9121,2024-12-27 22:30:01,1
Here's to the kids who hardly sleep because there are more important things that need to be done.,9123,2024-11-18 05:30:01,1
I get a different feeling than most when I look outside and notice two black SUVs parked on my street.,9125,2024-12-09 19:30:01,1
"An exabyte is one quintillion bytes, or one billion gigabytes. Numerically, it reads: 1,000,000,000,000,000,000",9128,2024-12-27 12:30:01,1
"Only 19 percent of e-mails sent are legitimate, while the remaining 81 percent is all junk mail.",9129,2024-10-12 01:30:01,1
Are you working with something unethical? Then make a dump and LEAK IT! #leak #WikiLeaks #DoYourPart,9132,2024-10-06 14:30:02,1
Piracy isn't theft. It's piracy.,9134,2024-10-07 10:30:02,1
"What if Pinocchio said ""My nose will now grow""?",9136,2024-12-01 02:30:01,1
"5 Lies of the 5 Eyes

We spy to keep you safe
We spy to prevent terror
We are the good guys
We don't spy on you
What we do is legal",9140,2024-12-12 00:30:02,1
I emailed myself a copy of the constitution and bill of rights so the US Government could read it.,9145,2024-11-17 03:30:01,1
Your age is directly proportional to your reliance on Urban Dictionary.,9146,2024-10-15 04:30:01,1
This is just a friendly reminder to INSTALL LINUX MOTHERFUCKER,9147,2024-10-30 12:30:01,1
I'll DDoS your toaster kid watch the fuck out.,9148,2024-11-03 21:30:01,1
According to the mathematics the quantum world is a perfect hermetic world of pure potential only made real when interrupted by an observer.,9149,2024-11-20 04:30:01,1
"Your mother is so fat, the recursive function computing her mass causes a stack overflow.",9150,2024-12-10 21:30:02,1
Computers are like air conditioners. They stop working properly when you open Windows.,9151,2024-11-28 15:30:01,1
"If you can't explain it simply, you don't understand it well enough.",9153,2024-12-28 07:30:01,1
"Sometimes, hacking is just someone spending more time on something than anyone else might reasonably expect.",9156,2024-10-18 08:30:01,1
if you see SYN you reply with ACK,9158,2024-10-31 09:30:01,1
"I would love to change the world, but they won't give me the source code.",9159,2024-12-21 22:30:02,1
"Gmail users have no ""reasonable expectation"" that their communications are confidential, Google said in a court filing.",9160,2024-10-26 19:30:01,1
Born to be root.,9161,2024-10-01 00:30:01,1
"If someday we all go to prison for downloading music, I just hope they split us up by the music genre.",9163,2024-12-15 20:30:01,1
Legal downloads are killing piracy.,9167,2024-11-28 18:30:01,1
The NSA hates encryption and not being able to eavesdrop on communications. Those bastards violate our civil liberties everyday. ,9168,2024-11-26 09:30:01,1
Trapped in God's program.,9170,2024-10-24 09:30:01,1
/waves to feds,9171,2024-11-18 21:30:01,1
"Computers follow your orders, not your intentions.",9172,2024-10-04 00:30:01,1
The CIA can turn most consumer electronics with a microphone into a listening device potentially without a warrant or court order.,9173,2024-12-18 04:30:02,1
"If you say passwords are encrypted when they are actually hashed, I will hunt you down.",9178,2024-12-09 01:30:02,1
Programming is being ten minutes away from being done for the rest of your life.,9179,2024-10-29 13:30:01,1
Deny everything. Admit nothing. Make counter accusations.,9180,2024-11-30 19:30:02,1
"In objective C, a nil value is absence of evidence, and an NSNull value is evidence of absence.",9181,2024-12-09 10:30:01,1
Debugging is like being the detective in a crime movie where you are also the murderer.,9182,2024-11-18 14:30:01,1
"Year 2070: You sit down with your grandma as she opens an old photo album ""this is a selfie. this is a selfie. breakfast. selfie. lunch.""",9183,2024-11-18 16:30:01,1
Good security is hard. Anyone who says differently is selling something.,9184,2024-10-03 11:30:01,1
We're still in the amateur phase of ransomware. Once these people debug their tech and raise prices it's going to be so much worse.,9189,2024-10-25 17:30:01,1
"Printers, unlike other technologies, are remarkable in the fact that they're just as shitty and unreliable now as they were in 1995.",9191,2024-10-04 08:30:01,1
I'm on Linux bitch. I thought you GNU?,9193,2024-11-11 22:30:02,1
"The CIA has tools to remote control chips in cars, planes, medical devices and hospital tech with assassination potential.",9199,2024-10-31 22:30:01,1
Standing burns about 50 more calories per hour than sitting in front of your computer.,9200,2024-10-20 05:30:01,1
"Embrace the command line, it's your computer's most useful tool.",9201,2024-10-31 12:30:01,1
Troubleshooting computer problems is full of hours of my life I will never get back.,9203,2024-11-08 21:30:01,1
"Most computer problems are the result of an ID-10T error, which happens specifically at level 8 of the OSI model.",9204,2024-11-10 07:30:02,1
The typical computer keyboard has 60 times more germs than the typical toilet seat.,9208,2024-10-06 01:30:01,1
My other computer is a data center.,9211,2024-12-25 12:30:01,1
One human brain has more switches than all computers on Earth.,9212,2024-12-19 10:30:01,1
"CIA program: ""Grasshopper""

- Target computers running Microsoft Windows operating systems
- Re-installs itself every 22 hours

#Vault7",9220,2024-11-06 07:30:02,1
The reality we perceive may be the product of a highly-advanced computer program.,9223,2024-12-24 01:30:01,1
Back up your data.,9225,2024-11-18 22:30:01,1
The NSA backs up my data for me.,9226,2024-12-01 08:30:02,1
Decryption works retroactively. Once a system is broken agencies can look back in time in their databases and read stuff they couldn't before.,9227,2024-12-28 22:30:01,1
Government agencies routinely skew scientific data in order to save face and perpetuate the illusion of relevance.,9228,2024-12-25 18:30:01,1
"Data is far easier to encrypt than it is to decrypt. By orders of magnitude, in fact.",9229,2024-11-15 12:30:01,1
Information is just bits of data. Knowledge is putting them together. Wisdom is transcending them.,9230,2024-10-17 12:30:01,1
Microsoft openly stated that pervasive data collection will be present in every Windows version starting from Windows 10.,9233,2024-11-26 01:30:01,1
You ARE being spied on and recorded. Your data will be stored until you become interesting enough for it to be used against you.,9236,2024-11-10 19:30:02,1
There are two kinds of people. Those who can extrapolate from incomplete data.,9237,2024-12-09 04:30:01,1
There are two kinds of people in the world: Those who can extrapolate from incomplete data.,9238,2024-10-05 10:30:01,1
"I strive for the finer things, and I'm not talking about diamond rings. I'm talking about uncapped data pipes. I'm talking about 100 terabytes",9240,2024-11-02 11:30:01,1
"Former CIA director: ""We kill people based on metadata"": https://www.rt.com/usa/158460-cia-director-metadata-kill-people/",9242,2024-10-13 19:30:01,1
Skype now records data for a 30 day period and hands over data requests to law enforcement agencies.,9243,2024-12-08 19:30:01,1
"Private companies involved in ""data mining"" are gathering literally trillions of data points about individual Americans each year.",9244,2024-12-14 19:30:01,1
"Big data is like big tobacco. Presumed to be safe for decades and when we understood the cancer it brought, it was hard for people to quit.",9245,2024-10-27 19:30:01,1
*wakes up from coma* What version of Chrome is it?,9247,2024-11-08 06:30:02,1
"Google gave up ""Don't be evil"" long ago.",9249,2024-12-06 22:30:01,1
InterPlanetary File System (IPFS) is a peer-to-peer distributed file system that seeks to connect all devices with the same system of files.,9251,2024-11-25 18:30:01,1
It's thought that resistance wastes up to 20% of all electricity we generate.,9252,2024-11-24 14:30:01,1
"GPUs are specialized for floating point calculations whereas CPUs are all-around calculation units that ""usually"" process integer values.",9253,2024-10-12 17:30:01,1
