tweet,id,last_tweeted,active
What if your dreams are actually your lives in alternate realities?,249,2024-12-14 22:30:01,1
The triangular shaped nuclear powered aerospace platform was developed under the Top Secret Aurora Program.,251,2024-12-10 19:00:01,1
"The Universe is pretty big place. If it's just us, seems like an awful waste of space.",252,2024-12-25 20:00:01,1
The Aurora is the most classified aerospace development program in existence.,253,2024-12-27 22:00:01,1
"Nothing inside space can move faster than light, however, space itself has no such speed limit.",254,2024-12-06 00:30:01,1
"In 1977 we received a radio signal from space that lasted 72 seconds. To this day, we still don't know where it came from.",255,2024-11-05 02:00:01,1
UFOs were initially called Flying Saucers but the more neutral phrase Unidentified Flying Objects was later coined by US Air Force in 1953.,256,2024-12-16 03:00:01,1
"From October 1989 through 1990 hundreds of UFO sightings, frequently of enormous, triangular-shaped craft, were recorded in Belgium.",257,2024-11-06 18:00:01,1
"Your homework today is to search: ""Tehran UFO Incident""",258,2024-11-25 06:30:01,1
"Arizona, California, Florida, New York, Pennsylvania and Texas are some of America's UFO sighting hotspots.",259,2024-11-10 16:00:01,1
"In the Vietnam conflict, UFOs were referred to by our military as Enemy Helicopters.",260,2024-12-04 09:30:01,1
Former astronaut Edgar Mitchell claims that UFOs have provided 'sonic engineering secrets' that are helpful to the U.S. government.,261,2024-12-01 17:30:02,1
"That awkward moment when she says ""go deeper"" but you're out of UFO stories and conspiracy theories.",262,2024-11-14 12:00:01,1
The United States and Great Britain are the two countries that report the most UFO sightings.,264,2024-12-04 01:30:02,1
"UFO Case Review - O'Hare Airport UFO, 2006: https://www.youtube.com/watch?v=n2VZOZwZC6M",265,2024-11-28 21:00:01,1
"UFO Case Review - Phoenix Lights, 1997: https://www.youtube.com/watch?v=WcxbTIRN0Aw",266,2024-10-13 15:00:01,1
"UFO Case Review - Belgian UFO Wave, 1989 - 1991: https://www.youtube.com/watch?v=taGuuHv5Bsc",267,2024-11-21 21:30:01,1
"UFO Case Review - Michigan Swamp Gas, 1966: https://www.youtube.com/watch?v=uZb7N4abXXA",268,2024-12-25 16:00:01,1
"UFO Case Review - Shag Harbour UFO Crash, 1967: https://www.youtube.com/watch?v=PUDpsQd_vMQ",269,2024-11-06 00:30:02,1
"UFO Case Review - Portage County UFO Chase, 1966: https://www.youtube.com/watch?v=WJP8OxZr2kE",270,2024-11-03 08:00:01,1
"UFO Case Review - Battle of Los Angeles, 1942: https://www.youtube.com/watch?v=1rv9Fpp2eQA",275,2024-11-28 13:30:02,1
"UFO Case Review - The Lonnie Zamora Incident, 1964: https://www.youtube.com/watch?v=cvW--Pf_sRk",277,2024-10-30 18:00:01,1
"UFO Case Review - Japan Air Lines Flight 1628, 1986: https://www.youtube.com/watch?v=-f3X1LDCaJE",279,2024-12-02 09:00:02,1
"UFO Case Review - Rendlesham Forest Incident, 1980: https://www.youtube.com/watch?v=zQ6oS6ZPoaE",280,2024-12-28 06:30:01,1
"UFO Case Review - Travis Walton Abduction, 1975: https://www.youtube.com/watch?v=zVVg9-ZyqqM",281,2024-11-15 16:00:01,1
"UFO Case Review - Pascagoula Abduction, 1973: https://www.youtube.com/watch?v=s9J3JCr9XMQ",283,2024-12-27 01:00:01,1
"UFO Case Review - Betty and Barney Hill Abduction, 1961: https://www.youtube.com/watch?v=pFZt0Z0u5Uc",284,2024-11-20 10:30:01,1
"UFO Case Review - Portage County UFO Chase, 1966: https://www.youtube.com/watch?v=WJP8OxZr2kE",285,2024-12-10 07:00:01,1
Marilyn Monroe murdered by CIA to stop her exposing Roswell UFO truth JFK told to her: http://www.express.co.uk/news/weird/808689/Marilyn-Monroe-murdered-CIA-Roswell-UFO-JFK-aliens,287,2024-11-19 11:00:01,1
US hiding seven flying saucers and 27 alien corpses says alleged DIA leak: http://www.express.co.uk/news/weird/817908/USA-secretly-hiding-seven-UFOs-27-alien-bodies-DIA-leak,289,2024-11-17 00:30:01,1
"UFO evidences goes back as far as man has left any records at all, even in ancient cave arts 20,000 years ago.",291,2024-12-13 20:30:02,1
"Your homework today is to search: ""TR-3B""",293,2024-12-07 14:00:01,1
Aliens looking for aliens aren't we.,294,2024-11-11 13:00:02,1
Remote Viewing Aliens - Jim Marrs: https://www.youtube.com/watch?v=8LH_Q-pe0pU,295,2024-12-13 15:00:01,1
"Alien enthusiasts, including myself, often accuse NASA of switching off its ISS live feed as mysterious objects approach Earth's atmosphere.",296,2024-12-24 17:30:01,1
POUNCE is the project formed to recover all downed/crashed craft and aliens.,297,2024-11-05 08:00:01,1
UFOs are real and are advanced Anti-Gravity Craft and have been recovered by governments after crashing and have contained alien/ET pilots.,298,2024-11-11 02:00:01,1
What if aliens were visited by aliens?,299,2024-11-29 05:00:02,1
"NRO = National Recon Organization, based at Fort Carson, CO. It is responsible for the security of all alien/alien craft connected projects.",303,2024-12-13 12:00:01,1
Alien entities probably monitor our telecommunications.,304,2024-11-13 20:30:02,1
"Oxford Scientists Suggest That Aliens Aren't Extinct, Just Hibernating: https://futurism.com/oxford-scientists-suggest-that-aliens-arent-extinct-just-hibernating/",305,2024-11-26 10:30:01,1
"""Aliens could share more tech with us, if we warmonger less"" - Former Canada Defense Minister: https://www.youtube.com/watch?v=Pg6VTzacb9I",306,2024-11-12 11:00:01,1
"Did Aliens Visit Earth 25,000 Years Ago? Aluminum Piece In Romania Hailed Part Of Ancient UFO: http://www.techtimes.com/articles/183145/20161021/did-aliens-visit-earth-25-000-years-ago-aluminum-piece-in-romania-hailed-part-of-ancient-ufo.htm",307,2024-11-14 00:00:02,1
10 Explanations For UFOs Weirder Than Aliens https://listverse.com/2015/06/04/10-explanations-for-ufos-weirder-than-aliens/,308,2024-11-07 02:00:02,1
"Phil Schneider - D.U.M.B.S [Underground Bases, Alien Greys, New World Order]: http://www.youtube.com/watch?v=pT1SnoHxxGo",310,2024-12-19 02:00:02,1
"I'm not saying it was aliens, but it was aliens.",314,2024-11-10 08:00:01,1
I really hope aliens aren't analyzing our radio signals. I don't want the future of mankind resting in the hands of Lil' Wayne.,315,2024-11-22 22:30:02,1
A 1991 Roper poll shows that 4 million people believe they have been abducted by aliens.,316,2024-12-14 14:00:02,1
"Much of what we know about Tall White aliens has been given to us by Charles Hall, a first class airman in the United States Air Force.",317,2024-11-14 16:00:01,1
An advanced alien civilization DID exist before us: http://www.dailymail.co.uk/sciencetech/article-3564247/An-advanced-alien-civilization-existed-Scientists-make-prediction-changing-Drake-equation-include-Kepler-data.html,318,2024-12-14 01:00:01,1
"Math is the universal language. So when you get abducted by aliens, show them a prime number sequence and they'll know you're not a dumbass.",319,2024-12-03 04:30:02,1
7 Officials Who Admitted Aliens Exist: https://www.youtube.com/watch?v=giQ9BF3pVa0,320,2024-11-22 09:00:01,1
Turkey UFO Clearly Shows Aliens: https://www.youtube.com/watch?v=IUEjeYn5Obg,321,2024-11-26 23:00:01,1
Aliens in famed British UFO encounter were interested in secret stash of nuclear weapons: http://www.mirror.co.uk/news/world-news/ex-cop-claims-aliens-famed-7979477,323,2024-12-23 07:00:01,1
"Alien, demon, or genetic mutation, the Enfield Horror is one of the strangest creatures ever to be chronicled in cryptozoological lore.",324,2024-12-07 17:30:01,1
Possibly the most unbelievable thing about Star Trek is how different alien civilizations maintain cross-compatible video calling software.,327,2024-11-23 12:00:01,1
Area 51 includes a huge underground facility where exchanges of technology take place with alien beings.,328,2024-12-24 23:30:01,1
"Disclosure hasn't happened not because they don't want us knowing about alien life, but because new energy technology would destroy the status quo.",332,2024-11-27 13:00:01,1
"Edgar Mitchell, Apollo 14 Astronaut, Speaks Out on Roswell & the Existence of Aliens: http://observer.com/2015/08/edgar-mitchell-apollo-14-astronaut-speaks-out-on-roswell-the-existence-of-aliens/",336,2024-11-25 11:30:01,1
"Does anyone know much about this ""Sub-Global System"" that aliens and humans supposedly operate between underground bases around the planet?",338,2024-12-13 23:30:02,1
The Dulce Base is believed to be the largest Grey Alien base in America.,339,2024-12-10 09:30:01,1
There was a tremendous amount of UFO and alien activity in Vietnam during The Vietnam War.,340,2024-11-16 10:30:02,1
"Peace-loving aliens tried to save America from nuclear war, claims moon mission astronaut Edgar Mitchell: http://www.mirror.co.uk/news/technology-science/science/peace-loving-aliens-tried-save-6235113",341,2024-11-26 15:00:01,1
Aliens tried to save America from nuclear war claims former astronaut: http://www.dailymail.co.uk/sciencetech/article-3195416/Aliens-tried-save-America-nuclear-war-UFOs-shot-missiles-White-Sands-protect-Earth-claims-former-astronaut.html,342,2024-12-06 07:30:01,1
"Phil Schneider - D.U.M.B.S (Underground Bases, Alien Greys, New World Order): http://www.youtube.com/watch?v=pT1SnoHxxGo",344,2024-11-23 08:00:01,1
Deep Military Underground Bases are large underground cities connected by high-speed magneto-leviton trains (up to Mach 2 speeds).,346,2024-11-26 07:30:01,1
"World leaders won't even acknowledge the existence of deep underground military bases, hundreds of which are built all over the world.",347,2024-11-13 17:30:01,1
Top-secret experiments in human cloning have already been conducted for many decades in deep underground military bases around the world.,348,2024-11-16 02:30:02,1
"Many Native Americans living near Dulce, NM are aware of the secret Dulce underground base and have seen strange lifeforms nearby.",350,2024-12-15 20:00:02,1
The World's Underground Bases: http://www.youtube.com/watch?v=J9xwVg-VoRQ,351,2024-12-01 02:00:02,1
Philip Schneider lectured in the 1990's about ultra-secret subterranean military facilities called Deep Underground Military Bases or DUMBs.,352,2024-11-21 07:30:02,1
"In the US alone there's over 120 Deep Underground Military Bases under most major cities, US AFBs, Navy and Army Bases, and DHS control centers.",353,2024-11-16 20:30:01,1
The underground Dulce base resembles a wheel with a central hub (focal point of entire base) and corridors radiating outwards like spokes.,354,2024-11-10 13:30:01,1
"The planning and sophistication of deep underground government bases is almost unfathomable, but they exist.",355,2024-11-18 22:00:01,1
"In 1995, Phil Schneider claimed that there are 1,477 Deep Underground Military Bases worldwide, 131 active DUMBs in the USA alone.",356,2024-12-09 22:30:01,1
Dulce base has at least 7 different underground levels.,357,2024-12-02 20:00:02,1
The subterranean highway in America is like a freeway except it's underground.,358,2024-11-01 17:00:02,1
Deep Military Underground Bases are basically large underground cities connected by high-speed magneto-leviton trains (up to Mach 2 speeds).,360,2024-11-22 06:30:02,1
"According to whistle-blower Phil Schneider, each deep underground military base (D.U.M.B.) costs around 17-19 billion US dollars to build.",361,2024-12-25 13:30:02,1
People don't know about deep underground military bases.,362,2024-12-19 10:30:01,1
The Dulce Underground Base: http://www.phantomsandmonsters.com/2013/04/update-dulce-underground-base.html,363,2024-12-07 00:00:02,1
The underground networks between Dulce and Area51 is said to hold the 2nd largest repository of extraterrestrials and equipment in North America,364,2024-11-21 06:00:02,1
Tunnels under the USA and Deep Underground Military Bases (DUMBS): http://www.heartcom.org/200under.htm,366,2024-12-07 19:00:02,1
Strange But True - Rendlesham Forest UFO Incident: https://www.youtube.com/watch?v=EI9ATxRjiMk,367,2024-11-25 13:00:02,1
Declassified Special - UFO Invasion at Rendlesham Forest: https://www.youtube.com/watch?v=VEh9QNoy7hI,369,2024-12-12 13:30:02,1
The Socorro UFO landing mystery: https://www.youtube.com/watch?v=03uMtm6E5P0,370,2024-12-20 15:00:02,1
It's clear that some of these UFO's are interested in our nuclear technology.,371,2024-11-11 07:30:01,1
Grey Aliens Filmed Inside UFO In Turkey: https://www.youtube.com/watch?v=ScPrgZQ2hvk,372,2024-12-10 08:30:01,1
Amazing Turkey UFO Shows Aliens - By Dr. Roger Leir: https://www.youtube.com/watch?v=IUEjeYn5Obg,373,2024-12-25 16:30:02,1
Nevada's Lost Race of Cannibalistic Redheaded Giants: https://ufoholic.com/forbidden-history/buried-enigma-nevadas-lost-race-of-cannibalistic-redheaded-giants/,374,2024-11-11 22:00:01,1
"UFO enthusiasts, including myself, often accuse NASA of switching off its ISS live feed as mysterious objects approach Earth's atmosphere.",375,2024-12-06 03:00:01,1
NASA Accused of Cutting Live Feed Of Mysterious UFO: http://miami.cbslocal.com/2016/07/13/nasa-accused-of-cutting-live-feed-of-mysterious-ufo/,376,2024-10-03 12:00:01,1
"The Men In Black appear after UFO sightings/abductions, often asking unusual questions and even talking in gibberish (not making any sense).",378,2024-12-09 05:30:02,1
Alexander the Great is chronicled to having witnessed UFOs while crossing a river in 329 BC.,379,2024-11-21 09:30:01,1
"""We all know UFOs are real. All we need to ask is where do they come from and what do they want?"" ~ Astronaut Edgar Mitchell",380,2024-11-21 19:30:01,1
"Foo fighters and kraut fireballs were terms Allied aircraft pilots in WWII used to describe different kinds of UFOs, or flying orbs.",381,2024-12-01 00:00:01,1
Many airline pilots see UFOs during flight but very few report it because of ridicule and the possibility of being fired.,382,2024-12-26 19:00:01,1
"A Man In Black once made a coin disappear from the hand of a UFO witness and told him, ""Your heart will do the same if you talk.""",383,2024-11-13 10:00:02,1
"In 1948, the US Air force began Project Sign, a UFO investigation agency, which was succeeded by Project Grudge & then Project Blue Book.",384,2024-12-21 06:30:01,1
The expression 'Oz factor' refers to the sensation of being transported into another reality during a UFO encounter.,385,2024-12-19 00:00:01,1
S-4 Informers S4 Area 51 Connor O'Ryan: http://www.ufohypotheses.com/s4informers.htm,390,2024-12-07 16:30:01,1
"A good 50 years before the Roswell event started the craze, a large UFO allegedly crashed in the small town of Aurora, Texas.",393,2024-12-09 11:00:02,1
Some have surmised that various electromagnetic effects can bring a UFO down.,394,2024-11-27 21:00:01,1
"Anytime we see a UFO entering the Earth's atmosphere, NASA cuts the live feed from the International Space Station.",395,2024-11-15 01:30:01,1
The Nazis were deep into a secret UFO project.,400,2024-10-24 22:00:01,1
Peru's air force has its own department responsible for investigating UFOs - The Department of Investigation of Anomalous Ariel Phenomena.,401,2024-12-01 06:30:01,1
When it comes to UFO crashes physical evidence is either quickly scooped up by military or carted off by some other governmental agency.,404,2024-11-24 23:00:01,1
JAL Flight 1628 UFO Incident Over Alaska: https://www.youtube.com/watch?v=dMn1PiNZfkU,407,2024-12-28 21:30:01,1
The Men in Black are men in black suits who claim to be government agents who threaten UFO witnesses to keep quiet about what they've seen.,410,2024-11-30 20:30:01,1
World's 10 Most Baffling UFO Sightings in History: https://www.youtube.com/watch?v=wUUEwdgg51U,411,2024-12-25 03:00:01,1
Turkey UFO Witnessed by Dr Roger Leir: https://www.youtube.com/watch?v=8ku4lWqeFiM,412,2024-11-24 07:30:02,1
"Donna Hare, NASA contractor, talks about airbrushing UFO photos: https://www.youtube.com/watch?v=jR6WcSk6zn8",413,2024-12-23 21:30:02,1
Millions of CIA documents reveal UFO investigations and more: http://nypost.com/2017/01/18/millions-of-cia-documents-reveal-ufo-investigations-and-more/,414,2024-12-21 01:30:01,1
Apollo Astronaut Says UFOs Came to Prevent Nuclear War: http://gizmodo.com/apollo-astronaut-says-ufos-came-to-prevent-nuclear-war-1724429735,415,2024-12-09 01:30:02,1
UFO Case Review - Rendlesham Forest Incident: https://www.youtube.com/watch?v=zQ6oS6ZPoaE,417,2024-11-21 16:30:02,1
10 Explanations For UFOs Weirder Than Aliens https://listverse.com/2015/06/04/10-explanations-for-ufos-weirder-than-aliens/,418,2024-12-26 15:30:01,1
"There was a tremendous amount of UFO activity in Vietnam during The Vietnam War. Reported in official messages as ""enemy helicopters"".",422,2024-12-07 01:00:02,1
